,Code,Area,Region,country,international_in_total,international_net_total,Pct_Turnout,Pct_Remain,Pct_Leave,Estimated Population mid-2015
305,E09000013,Hammersmith and Fulham,London,E,82179.0,8178.0,69.95,70.02,29.98,179410
306,E09000014,Haringey,London,E,102841.0,61399.0,70.64,75.57,24.43,272864
307,E09000015,Harrow,London,E,52531.0,32162.0,72.26,54.63,45.37,247130
308,E09000016,Havering,London,E,11628.0,5943.0,76.02,30.34,69.66,249085
309,E09000017,Hillingdon,London,E,56565.0,36008.0,68.99,43.63,56.37,297735
310,E09000018,Hounslow,London,E,89468.0,51143.0,69.8,51.06,48.94,268770
311,E09000019,Islington,London,E,100018.0,40521.0,70.39,75.22,24.78,227692
312,E09000020,Kensington and Chelsea,London,E,89243.0,7827.0,65.99,68.69,31.31,157711
313,E09000021,Kingston upon Thames,London,E,45961.0,25336.0,78.4,61.61,38.39,173525
314,E09000022,Lambeth,London,E,99136.0,44073.0,67.44,78.62,21.38,324431
315,E09000023,Lewisham,London,E,62841.0,35424.0,63.1,69.86,30.14,297325
316,E09000024,Merton,London,E,58915.0,23992.0,73.49,62.94,37.06,204565
317,E09000025,Newham,London,E,155020.0,109111.0,59.25,52.84,47.16,332817
318,E09000026,Redbridge,London,E,55495.0,31829.0,67.63,53.97,46.03,296793
319,E09000027,Richmond upon Thames,London,E,37095.0,8105.0,82.09,69.29,30.71,194730
320,E09000028,Southwark,London,E,109599.0,66569.0,66.2,72.81,27.19,308901
321,E09000029,Sutton,London,E,17216.0,6627.0,76.01,46.28,53.72,200145
322,E09000030,Tower Hamlets,London,E,126215.0,67963.0,64.6,67.46,32.54,295236
323,E09000031,Waltham Forest,London,E,82586.0,45494.0,66.69,59.1,40.9,271170
324,E09000032,Wandsworth,London,E,98826.0,15303.0,71.98,75.03,24.97,314544
325,E09000033,Westminster,London,E,165027.0,67872.0,64.99,68.97,31.03,242299
326,S12000033,Aberdeen City,Scotland,S,57211.0,30067.0,67.94,61.1,38.9,230350
327,S12000034,Aberdeenshire,Scotland,S,15469.0,4668.0,70.63,55.01,44.99,261960
328,S12000041,Angus,Scotland,S,4615.0,828.0,68.03,55.26,44.74,116900
329,S12000035,Argyll and Bute,Scotland,S,4682.0,-1377.0,73.13,60.57,39.43,86890
330,S12000036,City of Edinburgh,Scotland,S,121513.0,56685.0,72.96,74.44,25.56,498810
331,S12000005,Clackmannanshire,Scotland,S,1757.0,-80.0,67.23,57.78,42.22,51360
332,S12000006,Dumfries and Galloway,Scotland,S,4459.0,-2507.0,71.41,53.06,46.94,149670
333,S12000042,Dundee City,Scotland,S,20201.0,8749.0,62.92,59.78,40.22,148210
334,S12000008,East Ayrshire,Scotland,S,1677.0,-1717.0,62.91,58.6,41.4,122060
335,S12000045,East Dunbartonshire,Scotland,S,2216.0,-1223.0,75.17,71.4,28.6,106960
336,S12000010,East Lothian,Scotland,S,4457.0,1018.0,71.73,64.6,35.4,103050
337,S12000011,East Renfrewshire,Scotland,S,1836.0,-871.0,76.13,74.32,25.68,92940
338,S12000014,Falkirk,Scotland,S,5779.0,1176.0,67.55,56.76,43.24,158460
339,S12000015,Fife,Scotland,S,26260.0,6555.0,66.78,58.59,41.41,368080
340,S12000046,Glasgow City,Scotland,S,114271.0,43086.0,56.25,66.59,33.41,606340
341,S12000017,Highland,Scotland,S,13796.0,2420.0,71.61,55.95,44.05,234110
342,S12000018,Inverclyde,Scotland,S,2632.0,-352.0,66.05,63.8,36.2,79500
343,S12000019,Midlothian,Scotland,S,2152.0,57.0,68.15,62.06,37.94,87390
344,S12000020,Moray,Scotland,S,4786.0,-275.0,67.45,50.13,49.87,95510
345,S12000013,Na h-Eileanan Siar,Scotland,S,776.0,-281.0,70.18,55.24,44.76,27070
346,S12000021,North Ayrshire,Scotland,S,2683.0,-2041.0,64.59,56.88,43.12,136130
347,S12000044,North Lanarkshire,Scotland,S,8759.0,-1148.0,60.91,61.66,38.34,338260
348,S12000023,Orkney Islands,Scotland,S,618.0,-217.0,68.45,63.16,36.84,21670
349,S12000024,Perth and Kinross,Scotland,S,18693.0,9389.0,73.75,61.09,38.91,149930
350,S12000038,Renfrewshire,Scotland,S,8005.0,1365.0,69.29,64.81,35.19,174560
351,S12000026,Scottish Borders,Scotland,S,5459.0,-485.0,73.44,58.47,41.53,114030
352,S12000027,Shetland Islands,Scotland,S,1006.0,-53.0,70.39,56.51,43.49,23200
353,S12000028,South Ayrshire,Scotland,S,3311.0,-1371.0,69.84,58.96,41.04,112400
354,S12000029,South Lanarkshire,Scotland,S,7203.0,-2914.0,65.35,63.08,36.92,316230
355,S12000030,Stirling,Scotland,S,11549.0,3519.0,74.03,67.72,32.28,92830
356,S12000039,West Dunbartonshire,Scotland,S,2097.0,-609.0,63.98,61.99,38.01,89590
357,S12000040,West Lothian,Scotland,S,9272.0,3239.0,67.64,58.25,41.75,178550
358,W06000001,Isle of Anglesey,Wales,W,1768.0,341.0,73.82,49.06,50.94,69979
359,W06000002,Gwynedd,Wales,W,10408.0,3891.0,72.42,58.05,41.95,122864
360,W06000003,Conwy,Wales,W,4116.0,-490.0,71.75,46.02,53.98,116218
361,W06000004,Denbighshire,Wales,W,2969.0,262.0,69.14,46.0,54.0,94691
362,W06000005,Flintshire,Wales,W,4361.0,896.0,74.9,43.63,56.37,154074
363,W06000006,Wrexham,Wales,W,9767.0,5390.0,71.56,40.96,59.04,136647
364,W06000008,Ceredigion,Wales,W,7763.0,1644.0,74.48,54.63,45.37,74642
365,W06000009,Pembrokeshire,Wales,W,5061.0,767.0,74.39,42.86,57.14,123464
366,W06000010,Carmarthenshire,Wales,W,6697.0,2926.0,74.07,46.25,53.75,185123
367,W06000011,Swansea,Wales,W,22668.0,9558.0,69.6,48.49,51.51,242382
368,W06000012,Neath Port Talbot,Wales,W,1979.0,76.0,71.57,43.16,56.84,140992
369,W06000013,Bridgend,Wales,W,3529.0,654.0,71.18,45.36,54.64,142092
370,W06000014,Vale of Glamorgan,Wales,W,3915.0,-64.0,76.15,50.73,49.27,127592
371,W06000015,Cardiff,Wales,W,61986.0,19765.0,69.66,60.02,39.98,357160
372,W06000016,Rhondda Cynon Taf,Wales,W,10083.0,2504.0,67.47,46.3,53.7,237411
373,W06000018,Caerphilly,Wales,W,1951.0,-598.0,70.74,42.37,57.63,180164
374,W06000019,Blaenau Gwent,Wales,W,1112.0,248.0,68.08,37.97,62.03,69544
375,W06000020,Torfaen,Wales,W,1163.0,-89.0,69.86,40.22,59.78,91836
376,W06000021,Monmouthshire,Wales,W,2239.0,-659.0,77.74,50.44,49.56,92476
377,W06000022,Newport,Wales,W,10689.0,2058.0,70.21,44.01,55.99,147769
378,W06000023,Powys,Wales,W,3976.0,454.0,77.0,46.26,53.74,132642
379,W06000024,Merthyr Tydfil,Wales,W,2114.0,1145.0,67.39,43.56,56.44,59324
380,N92000002,Northern Ireland,Northern Ireland,N,168493.0,33365.0,62.69,55.78,44.22,1851621
