,Code,Area,Region,country,international_in_total,international_net_total,Pct_Turnout,Pct_Remain,Pct_Leave,Estimated Population mid-2015
36,E06000037,West Berkshire,South East,E,10814.0,-2186.0,79.95,51.78,48.22,156020
37,E06000038,Reading,South East,E,44249.0,8937.0,72.53,58.03,41.97,161739
38,E06000039,Slough,South East,E,28646.0,17030.0,62.13,45.67,54.33,145734
39,E06000040,Windsor and Maidenhead,South East,E,18945.0,6545.0,79.73,53.9,46.1,147708
40,E06000041,Wokingham,South East,E,14764.0,6122.0,80.03,56.69,43.31,160409
41,E06000042,Milton Keynes,South East,E,26674.0,7273.0,73.66,48.59,51.41,261762
42,E06000043,Brighton and Hove,South East,E,62695.0,13531.0,74.05,68.62,31.38,285276
43,E06000044,Portsmouth,South East,E,38877.0,17154.0,70.3,41.92,58.08,211758
44,E06000045,Southampton,South East,E,66601.0,30315.0,68.14,46.2,53.8,249537
45,E06000046,Isle of Wight,South East,E,6738.0,-473.0,72.31,38.05,61.95,139395
46,E06000047,County Durham,North East,E,25108.0,9714.0,68.69,42.45,57.55,519695
47,E06000049,Cheshire East,North West,E,18440.0,2297.0,77.36,48.82,51.18,375392
48,E06000050,Cheshire West and Chester,North West,E,18517.0,-1641.0,74.51,49.32,50.68,333917
49,E06000051,Shropshire,West Midlands,E,12119.0,1440.0,77.42,43.13,56.87,311380
50,E06000052,Cornwall,South West,E,25061.0,1276.0,77.05,43.48,56.52,549404
51,E06000053,Isles of Scilly,South West,E,283.0,-79.0,79.16,56.39,43.61,2324
52,E06000054,Wiltshire,South West,E,27547.0,4732.0,78.87,47.51,52.49,486093
53,E06000055,Bedford,East,E,22022.0,9292.0,72.06,48.22,51.78,166252
54,E06000056,Central Bedfordshire,East,E,21202.0,11732.0,77.89,43.87,56.13,274022
55,E06000057,Northumberland,North East,E,7116.0,-854.0,74.35,45.89,54.11,315263
56,E07000004,Aylesbury Vale,South East,E,17956.0,5426.0,78.46,49.5,50.5,188707
57,E07000005,Chiltern,South East,E,6454.0,-122.0,83.57,55.02,44.98,94545
58,E07000006,South Bucks,South East,E,6371.0,1735.0,78.08,49.3,50.7,69120
59,E07000007,Wycombe,South East,E,15070.0,2510.0,75.74,51.97,48.03,176028
60,E07000008,Cambridge,East,E,67346.0,12055.0,72.22,73.85,26.15,130907
61,E07000009,East Cambridgeshire,East,E,9207.0,4288.0,77.08,49.08,50.92,87306
62,E07000010,Fenland,East,E,10063.0,7024.0,73.69,28.61,71.39,99171
63,E07000011,Huntingdonshire,East,E,11260.0,3830.0,77.82,45.76,54.24,174966
64,E07000012,South Cambridgeshire,East,E,12319.0,5433.0,81.21,60.23,39.77,154888
65,E07000026,Allerdale,North West,E,3341.0,914.0,72.92,41.35,58.65,96660
66,E07000027,Barrow-in-Furness,North West,E,1625.0,-150.0,67.87,39.38,60.62,67515
